"col0","col1","col2","col3"
"functional-samples/sample.water_alarm_notification/background.js",8,"chrome.notifications.create","chrome. ... 0\r\n  })"
"functional-samples/sample.water_alarm_notification/background.js",21,"chrome.alarms.create","chrome. ... utes })"
"functional-samples/sample.water_alarm_notification/popup.js",9,"chrome.alarms.create","chrome. ... utes })"
"functional-samples/sample.water_alarm_notification/popup.js",16,"chrome.alarms.clearAll","chrome. ... arAll()"
"functional-samples/sample.webgpu/service-worker.js",42,"chrome.tabs.create","chrome. ... sult })"
"functional-samples/tutorial.broken-color/popup.js",27,"chrome.tabs.query","chrome. ... ;\r\n  })"
"functional-samples/tutorial.broken-color/popup.js",29,"chrome.scripting.executeScript","chrome. ... \n    })"
"functional-samples/tutorial.custom-cursor/counter.js",2,"chrome.runtime.sendMessage","chrome. ... click')"
"functional-samples/tutorial.focus-mode/background.js",40,"chrome.scripting.insertCSS","chrome. ...      })"
"functional-samples/tutorial.focus-mode/background.js",46,"chrome.scripting.removeCSS","chrome. ...      })"
"functional-samples/tutorial.focus-mode-debugging/background.js",39,"chrome.tabs.sendMessage","chrome. ... -on' })"
"functional-samples/tutorial.focus-mode-debugging/background.js",41,"chrome.tabs.sendMessage","chrome. ... off' })"
"functional-samples/tutorial.focus-mode-debugging/fixed/background.js",39,"chrome.tabs.sendMessage","chrome. ... -on' })"
"functional-samples/tutorial.focus-mode-debugging/fixed/background.js",41,"chrome.tabs.sendMessage","chrome. ... off' })"
"functional-samples/tutorial.getting-started/popup.js",10,"chrome.tabs.query","chrome. ... true })"
"functional-samples/tutorial.getting-started/popup.js",12,"chrome.scripting.executeScript","chrome. ... r\r\n  })"
"functional-samples/tutorial.mole-game/controller/service-worker.js",4,"chrome.alarms.create","chrome. ...  * 3 })"
"functional-samples/tutorial.mole-game/controller/service-worker.js",8,"chrome.management.getAll","chrome. ... etAll()"
"functional-samples/tutorial.mole-game/controller/service-worker.js",13,"chrome.runtime.sendMessage","chrome. ... e.id })"
"functional-samples/tutorial.mole-game/mole/service-worker.js",8,"chrome.runtime.sendMessage","chrome. ... ccess')"
"functional-samples/tutorial.mole-game/mole/service-worker.js",30,"chrome.tabs.query","chrome. ... ery({})"
"functional-samples/tutorial.open-api-reference/content.js",6,"chrome.runtime.sendMessage","chrome. ... tip' })"
"functional-samples/tutorial.open-api-reference/sw-omnibox.js",27,"chrome.tabs.create","chrome. ... nput })"
"functional-samples/tutorial.open-api-reference/sw-tips.js",14,"chrome.alarms.create","chrome. ... 1440 })"
"functional-samples/tutorial.quick-api-reference/content.js",6,"chrome.runtime.sendMessage","chrome. ... tip' })"
"functional-samples/tutorial.quick-api-reference/sw-omnibox.js",30,"chrome.tabs.create","chrome. ... nput })"
"functional-samples/tutorial.quick-api-reference/sw-tips.js",16,"chrome.alarms.get","chrome. ... M_NAME)"
"functional-samples/tutorial.quick-api-reference/sw-tips.js",18,"chrome.alarms.create","chrome. ... \n    })"
"functional-samples/tutorial.tabs-manager/popup.js",15,"chrome.tabs.query","chrome. ...   ]\r\n})"
"functional-samples/tutorial.tabs-manager/popup.js",38,"chrome.tabs.update","chrome. ... true })"
"functional-samples/tutorial.tabs-manager/popup.js",50,"chrome.tabs.group","chrome. ... bIds })"
"functional-samples/tutorial.terminate-sw/test-extension/page.js",5,"chrome.runtime.sendMessage","chrome. ... 'ping')"
"functional-samples/tutorial.terminate-sw/test-extension/service-worker-broken.js",4,"chrome.runtime.getManifest","chrome. ... ifest()"
"functional-samples/tutorial.terminate-sw/test-extension/service-worker-fixed.js",2,"chrome.runtime.getManifest","chrome. ... ifest()"
