"col0","col1","col2","col3"
"JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/js/background.js",60,"chrome.tabs.remove","chrome. ... esolve)"
"JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/js/background.js",68,"chrome.tabs.create","chrome. ... ue }, )"
"JS-SEARCH-noUI-SURL-gjnlgmpokfpkonbdfkjbihmliofkjeok.1_0_6_0/src/js/background.js",70,"chrome.runtime.setUninstallURL","chrome. ... .html')"
"JS-SEARCH-ompmbcpalofeaelpfohpmpmjhjahgpbp.1_0_2_0/src/background/runtime.js",3,"chrome.tabs.create","chrome. ... b'\n  })"
"JS-SEARCH-ompmbcpalofeaelpfohpmpmjhjahgpbp.1_0_2_0/src/static/js/script.js",1,"chrome.runtime.getManifest","chrome. ... ifest()"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js",22,"chrome.tabs.query","chrome. ... \n    })"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js",79,"chrome.cookies.getAll","chrome. ... \n    })"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js",91,"chrome.tabs.create","chrome. ... \n    })"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js",115,"chrome.tabs.query","chrome. ... \n    })"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js",119,"chrome.tabs.update","chrome. ... sUrl })"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js",122,"chrome.tabs.remove","chrome. ... tab.id)"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js",129,"chrome.tabs.query","chrome. ...      })"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js",131,"chrome.tabs.update","chrome. ... pUrl })"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/ext.js",137,"chrome.tabs.update","chrome. ...      })"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/listeners.js",7,"chrome.tabs.update","chrome. ... rl() })"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/listeners.js",33,"chrome.runtime.getManifest","chrome. ... ifest()"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/listeners.js",36,"chrome.runtime.getManifest","chrome. ... ifest()"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/omni.js",18,"chrome.tabs.update","chrome. ...  url })"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/startup.js",6,"chrome.management.getSelf","chrome. ...      })"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/background/startup.js",49,"chrome.runtime.setUninstallURL","chrome. ... \n    })"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/options/options.js",1,"chrome.runtime.sendMessage","chrome. ... url;\n})"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/options/tabContent.js",5,"chrome.runtime.sendMessage","chrome. ...       )"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/options/tabContent.js",16,"chrome.runtime.sendMessage","chrome. ...       )"
"REDIRECTURL-hajkkfloelnggpmlehppgfhoncmghckc.1_20_320_2110/src/options/tabContent.js",28,"chrome.runtime.sendMessage","chrome. ...       )"
